id,name,shortDescription,categories,tier,locationLon,locationLat,tags,xps,Visits,Likes,Dislikes,Bookmarks,main_image_path
4b36a3ed-3b28-4bc7-b975-1d48b586db03,Galería Fran Reus,"La Galería Fran Reus es un espacio dedicado a la introducción de artistas emergentes y propuestas jóvenes dentro de un circuito artístico consolidado, en el ámbito nacional o internacional.","['Escultura', 'Pintura']",1,2.6422617997129736,39.57269379553084,[],500,10009,422,3582,78,data_main/4b36a3ed-3b28-4bc7-b975-1d48b586db03/main.jpg
e32b3603-a94f-49df-8b31-92445a86377c,Convento de San Plácido,"El Convento de San Plácido en Madrid, fundado por Teresa de Ayala, es un enclave histórico lleno de misterio y devoción que resalta la influencia de las mujeres en la historia religiosa de la ciudad.","['Patrimonio', 'Historia']",1,-3.704466679703825,40.42303656631572,[],500,10010,7743,96,2786,data_main/e32b3603-a94f-49df-8b31-92445a86377c/main.jpg
0123a69b-13ac-4b65-a5d5-71a95560cff5,Instituto Geológico y Minero de España,"El Instituto Geológico y Minero de España, situado en la calle de Ríos Rosas en Madrid, es un centro de investigación científica de referencia en geología.","['Ciencia', 'Patrimonio']",2,-3.699693697942533,40.44204451855193,[],250,10015,3154,874,595,data_main/0123a69b-13ac-4b65-a5d5-71a95560cff5/main.jpg
390d7d9e-e972-451c-b5e4-f494af15e788,Margarita Gil Roësset,"Margarita Gil Roësset, escultora y poetisa española, dejó una huella profunda y trágica en la historia del arte. Su breve pero intensa carrera culminó en un acto final de desesperación, dejando un legado de obras cargadas de emoción y melancolía.",['Cultura'],1,-3.6912283295168256,40.42725576857007,[],500,10011,8559,79,2358,data_main/390d7d9e-e972-451c-b5e4-f494af15e788/main.jpg
023fc1bf-a1cd-4b9f-af78-48792ab1a294,Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),"El Museo del Traje de Madrid, fundado en 2004, es una joven institución que ofrece un recorrido histórico por la moda y el vestuario, desde la antigüedad hasta la actualidad.","['Patrimonio', 'Cultura']",1,-3.727822373257623,40.43966478861165,[],500,10020,915,2896,143,data_main/023fc1bf-a1cd-4b9f-af78-48792ab1a294/main.jpg
bcd58127-76bd-44e7-84d8-cc25b46c7962,Clara Campoamor,"Clara Campoamor fue una abogada, escritora y política española cuya lucha incansable por el sufragio femenino cambió para siempre la historia de España, abriendo las puertas de la democracia a las mujeres.","['Historia', 'Cultura']",1,-3.690210921050405,40.43508150143175,[],500,10019,8491,71,2313,data_main/bcd58127-76bd-44e7-84d8-cc25b46c7962/main.jpg
f45b1b38-36cd-4479-bac1-544ca6b1e685,Plaza de la Encarnación,"Debe su nombre al desaparecido convento de la Encarnación, de la Orden de San Agustín, cuyo edificio ocupaba parte de la plaza. Después, mercado de abastos. Ahora alberga una de las estructuras más modernas de Sevilla: el Metropol Parasol. ¿Qué más esconderá esta plaza?","['Historia', 'Arquitectura']",2,-5.99200705884495,37.3929530543295,[],250,10013,3118,948,613,data_main/f45b1b38-36cd-4479-bac1-544ca6b1e685/main.jpg
ca8d89fa-3e9e-4639-ac01-7f83c5d0130e,Atentado en 1985,1985. ETA asesina en Madrid al coronel auditor del Ejército Vicente Romero y a su conductor Juan García Jiménez.,['Historia'],3,-3.677161321066506,40.43580018310308,[],100,10019,3002,850,691,data_main/ca8d89fa-3e9e-4639-ac01-7f83c5d0130e/main.jpg
0089bb20-c132-496c-b215-1986fcfa9d4b,Cuesta de los ciegos,"La Cuesta de los Ciegos es una escalera empedrada y encantada, un recoveco histórico en el corazón de Madrid que conecta el barrio de La Latina con los jardines de Las Vistillas.","['Arquitectura', 'Historia']",3,-3.714566685108879,40.41298439281315,[],150,10007,8398,137,2487,data_main/0089bb20-c132-496c-b215-1986fcfa9d4b/main.jpg
297257de-a00a-4e99-bd21-b3a2c529e916,Fragmento de la muralla árabe de Madrid,"Este vestigio de la muralla árabe del siglo IX, ubicado junto al Palacio Real, es un testimonio de la fundación de Madrid como fortaleza islámica en la época de Al-Ándalus.","['Arquitectura', 'Patrimonio']",2,-3.714546245709183,40.41486580488172,[],250,10018,800,2942,129,data_main/297257de-a00a-4e99-bd21-b3a2c529e916/main.jpg
